DATE,GBPUSD
27/07/12,1.5728
30/07/12,1.5694
31/07/12,1.5686
01/08/12,1.5596
02/08/12,1.55
03/08/12,1.565
06/08/12,1.5625
07/08/12,1.5658
08/08/12,1.5659
09/08/12,1.5623
10/08/12,1.5679
13/08/12,1.569
14/08/12,1.5692
15/08/12,1.5686
16/08/12,1.5738
17/08/12,1.5697
20/08/12,1.5707
21/08/12,1.5788
22/08/12,1.58
23/08/12,1.5882
24/08/12,1.5815
27/08/12,1.58
28/08/12,1.5828
29/08/12,1.5839
30/08/12,1.5794
31/08/12,1.5864
03/09/12,.
04/09/12,1.5889
05/09/12,1.5907
06/09/12,1.5922
07/09/12,1.6016
10/09/12,1.6009
11/09/12,1.6071
12/09/12,1.6111
13/09/12,1.6125
14/09/12,1.6244
17/09/12,1.6263
18/09/12,1.6251
19/09/12,1.6219
20/09/12,1.6198
21/09/12,1.6251
24/09/12,1.6199
25/09/12,1.6232
26/09/12,1.6145
27/09/12,1.6217
28/09/12,1.6132
01/10/12,1.6142
02/10/12,1.6186
03/10/12,1.6077
04/10/12,1.6165
05/10/12,1.6196
08/10/12,.
09/10/12,1.5987
10/10/12,1.6007
11/10/12,1.6028
12/10/12,1.6075
15/10/12,1.6069
16/10/12,1.6101
17/10/12,1.6165
18/10/12,1.6141
19/10/12,1.6003
22/10/12,1.6028
23/10/12,1.5932
24/10/12,1.6015
25/10/12,1.6119
26/10/12,1.6098
29/10/12,1.6025
30/10/12,1.6083
31/10/12,1.6111
01/11/12,1.6142
02/11/12,1.6036
05/11/12,1.5977
06/11/12,1.5985
07/11/12,1.5975
08/11/12,1.5979
09/11/12,1.5912
12/11/12,.
13/11/12,1.5885
14/11/12,1.5849
15/11/12,1.5865
16/11/12,1.5866
19/11/12,1.5908
20/11/12,1.5927
21/11/12,1.5936
22/11/12,.
23/11/12,1.6032
26/11/12,1.6014
27/11/12,1.6028
28/11/12,1.5997
29/11/12,1.6026
30/11/12,1.6027
03/12/12,1.6104
04/12/12,1.6097
05/12/12,1.6102
06/12/12,1.6066
07/12/12,1.6031
10/12/12,1.6068
11/12/12,1.6103
12/12/12,1.6132
13/12/12,1.613
14/12/12,1.6139
17/12/12,1.6203
18/12/12,1.6256
19/12/12,1.6275
20/12/12,1.6268
21/12/12,1.6167
24/12/12,1.6113
25/12/12,.
26/12/12,1.6118
27/12/12,1.6106
28/12/12,1.6157
31/12/12,1.6262
01/01/13,.
02/01/13,1.6255
03/01/13,1.6151
04/01/13,1.6036
07/01/13,1.608
08/01/13,1.604
09/01/13,1.6024
10/01/13,1.6125
11/01/13,1.6128
14/01/13,1.6077
15/01/13,1.6089
16/01/13,1.6009
17/01/13,1.5991
18/01/13,1.5876
21/01/13,.
22/01/13,1.5862
23/01/13,1.5848
24/01/13,1.5789
25/01/13,1.5799
28/01/13,1.5686
29/01/13,1.5751
30/01/13,1.5793
31/01/13,1.5856
01/02/13,1.5744
04/02/13,1.5737
05/02/13,1.5652
06/02/13,1.5655
07/02/13,1.5712
